iter	Passed	Remaining
0	144	144151
1	144	72338
2	145	48373
3	146	36400
4	146	29208
5	147	24410
6	148	21000
7	148	18447
8	149	16465
9	150	14875
10	150	13573
11	151	12481
12	152	11556
13	152	10761
14	153	10071
15	153	9465
16	154	8935
17	155	8460
18	155	8040
19	156	7662
20	157	7320
21	157	7008
22	158	6728
23	159	6472
24	159	6232
25	160	6011
26	161	5805
27	161	5614
28	162	5437
29	162	5269
30	163	5113
31	164	4969
32	164	4832
33	165	4705
34	166	4585
35	167	4472
36	167	4364
37	168	4260
38	168	4162
39	169	4071
40	170	3981
41	170	3895
42	171	3812
43	171	3734
44	172	3659
45	173	3589
46	173	3521
47	174	3457
48	174	3393
49	175	3333
50	175	3274
51	176	3218
52	177	3163
53	177	3111
54	178	3060
55	178	3011
56	179	2964
57	179	2919
58	180	2876
59	180	2834
60	181	2794
61	182	2755
62	182	2717
63	183	2681
64	183	2646
65	184	2611
66	185	2577
67	185	2541
68	186	2510
69	186	2480
70	187	2454
71	188	2430
72	189	2403
73	189	2377
74	190	2351
75	191	2325
76	191	2301
77	192	2276
78	193	2253
79	193	2230
80	194	2207
81	195	2185
82	195	2165
83	196	2144
84	197	2121
85	197	2101
86	198	2079
87	198	2060
88	199	2041
89	200	2023
90	200	2005
91	201	1988
92	202	1971
93	202	1955
94	203	1939
95	204	1923
96	204	1907
97	205	1891
98	206	1876
99	206	1861
100	207	1846
101	207	1829
102	208	1814
103	208	1799
104	209	1786
105	210	1773
106	211	1761
107	211	1749
108	212	1736
109	213	1723
110	213	1711
111	214	1699
112	214	1687
113	215	1675
114	216	1666
115	217	1654
116	217	1643
117	218	1633
118	219	1621
119	219	1610
120	220	1600
121	220	1590
122	221	1577
123	221	1567
124	222	1557
125	223	1548
126	223	1539
127	224	1528
128	225	1520
129	225	1510
130	226	1501
131	227	1493
132	227	1484
133	228	1476
134	229	1468
135	229	1460
136	230	1453
137	231	1445
138	232	1437
139	232	1429
140	233	1421
141	234	1414
142	234	1407
143	235	1400
144	236	1393
145	236	1385
146	237	1377
147	237	1370
